,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
111,"Dans la légende",PNL,30758,https://open.spotify.com/track/5NZpY9WeWFtlHVgepfCamX
112,"A Kele Nta",MHD,30672,https://open.spotify.com/track/0v9yrgq9lNv5RJ3NPkCxmg
113,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,30577,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
114,Ivre,Benash,30177,https://open.spotify.com/track/4I2Z1gxRN4f55EmMwhzKxK
115,DA,PNL,30074,https://open.spotify.com/track/5UOGzIMvxXyRZIWBbqDcpU
116,"Loin (feat. Dany Synthé & soFLY & Nius) - Pilule violette",GIMS,29824,https://open.spotify.com/track/3up1uPuvL5vkfJ6aOeSRtD
117,"Say You Won't Let Go","James Arthur",29788,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
118,Cellophané,Rim'K,29666,https://open.spotify.com/track/2sOrroHqKbYFP2MfHxhQMc
119,"Now and Later","Sage The Gemini",29606,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
120,"J'ai déconné",KeBlack,29444,https://open.spotify.com/track/7GzFUAGK2htn9iuSZLL4wf
121,"Paris c'est loin",Damso,29337,https://open.spotify.com/track/3fHXUNVKNZQ4WaUGLwWxHP
122,Issues,"Julia Michaels",29255,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
123,Coco,Benash,28990,https://open.spotify.com/track/1W1uzwzodIbtvASQk2Rpjw
124,Oblah,Gradur,28954,https://open.spotify.com/track/0sqOIwjQoaiEXcSgl8iqsi
125,"Arrêt du cœur","Kalash Criminel",28815,https://open.spotify.com/track/6cG9I4PyigCQJu6A6PmgH2
126,6.45i,SCH,28454,https://open.spotify.com/track/0myHuhA1FkppaClYHRoxX0
127,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",27993,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
128,Closer,"The Chainsmokers",27831,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
129,Perfect,"Ed Sheeran",27751,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
130,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",27743,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
131,"Le son qui fait plaiz",Lorenzo,27588,https://open.spotify.com/track/1orn9GlxeBODSMfK1d0d92
132,"Fake Love",Drake,27246,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
133,"Bandit saleté",Sofiane,27093,https://open.spotify.com/track/6ADBipUwQIzKBHJaAeh2uK
134,"Dans la cité","Djadja & Dinaz",26990,https://open.spotify.com/track/1KTI6rzwOvc1QUpAsbf87U
135,Vision,Ateyaba,26940,https://open.spotify.com/track/6oeOygVCHGKsfK1t1HL0bp
136,"This Girl (Kungs Vs. Cookin' On 3 Burners)",Kungs,26847,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD
137,"Mon Everest (feat. Marina Kaye)",Soprano,26801,https://open.spotify.com/track/6iwkDhmdFfXu9RpjXrgFhz
138,Souviens-toi,"Djadja & Dinaz",26796,https://open.spotify.com/track/0vXSYZOYs8I9bYumO0Y7td
139,"Lordly (feat. Alex Aiono)",Feder,26770,https://open.spotify.com/track/6c12fBpCtuVIq8OFxT0A3S
140,"La Bise (feat. Brulux)",Sadek,26471,https://open.spotify.com/track/3AbR9rS5iPPPG5F5TJtLMs
141,"Daniel Sam",Booba,26148,https://open.spotify.com/track/40vg7dPaClJHMf4KkvxVQK
142,Happier,"Ed Sheeran",26099,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
143,"Moi aimer Toi",Vianney,26058,https://open.spotify.com/track/0mbT71B8hMCbdKEf3Q1kh8
144,Blow,Kaaris,26039,https://open.spotify.com/track/5GhWx7Hzju2oRyhVY6k9QH
145,Heathens,"Twenty One Pilots",26018,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
146,"Skurt Cobain",Sneazzy,25988,https://open.spotify.com/track/4S1ZmpEshXG3S0OLdodb1W
147,"24K Magic","Bruno Mars",25755,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
148,"Bailar (feat. Pitbull & Elvis Crespo)",Deorro,25655,https://open.spotify.com/track/1A5yplwEk6cJbAL63L6bkp
149,Ride,"Twenty One Pilots",25331,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
150,"La haine","Djadja & Dinaz",25260,https://open.spotify.com/track/5d8wWZ79eYd8OLIvAuuTm1
151,"Water Under the Bridge",Adele,25200,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
152,"Solo Dance","Martin Jensen",25067,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
153,"Makeba - Radio Edit",Jain,25013,https://open.spotify.com/track/5FkBFIGzG8lYFktLyZNUq6
154,"Lean On (feat. MØ & DJ Snake)","Major Lazer",25009,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
155,"Ma cité a craqué",Sofiane,24952,https://open.spotify.com/track/2rF2XSPjtNavLADPSB5wvM
156,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",24916,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT
157,"White Tiger - Single Version","Izzy Bizu",24872,https://open.spotify.com/track/64I0PKLFEKlcvc7fEVUGq0
158,"Selfish (feat. Rihanna)",Future,24663,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
159,"Heal Tomorrow","Naive New Beaters",24562,https://open.spotify.com/track/4J6xvZhJh26lmAEAXGDCKu
160,"Love On The Brain",Rihanna,24523,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02
161,"En vrai","Djadja & Dinaz",24452,https://open.spotify.com/track/0YNT9xdxyw6FW6jynbMJnT
162,"Ain't Your Mama","Jennifer Lopez",24354,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72
163,Commando,Niska,24198,https://open.spotify.com/track/0a5ClTPUJK0hYyXH0emy63
164,Blem,Drake,24145,https://open.spotify.com/track/2XlHu0HcujBCkWMdIAvrqt
165,"Andale (feat. Gradur)",Sadek,24138,https://open.spotify.com/track/3zLMWD22TUiKZ3L6FPjiCL
166,"J'suis kha","Djadja & Dinaz",24044,https://open.spotify.com/track/3zuKlYazvBXvFQ6fLfH86f
167,"Let It Go","James Bay",23936,https://open.spotify.com/track/13HVjjWUZFaWilh2QUJKsP
168,Imagine,Jul,23916,https://open.spotify.com/track/2Gzty1Qq6pFPaE6g8NAB3L
169,Amnésie,Damso,23784,https://open.spotify.com/track/2BYiWgDk243sjYEDjs2agc
170,"Jusqu'au dernier gramme",PNL,23668,https://open.spotify.com/track/2jBleFNl3YK8lyJc1OvxXt
171,"Ma meilleure amie",Vald,23624,https://open.spotify.com/track/24ZqZGoiSeKBYHf10Awj23
172,"Don't Wanna Know","Maroon 5",23624,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
173,Sex,"Cheat Codes",23579,https://open.spotify.com/track/5DA77EqppDmCTWGovd4oTP
174,"Réalité augmentée",Nekfeu,23448,https://open.spotify.com/track/5jGuAvPX3Ufo55DIZlCaHq
175,X,Sofiane,23141,https://open.spotify.com/track/7iJHlQF4d4GtgJ06DjQcDV
176,"French Kiss","Black M",23127,https://open.spotify.com/track/40aUgK48PvR8JC2KIiKKgW
177,"En feu",Soprano,23016,https://open.spotify.com/track/5rg6jVjcRlnifV86hAA6ro
178,Panda,Desiigner,22977,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
179,"SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)","Enrique Iglesias",22830,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
180,"On m'appelle l'ovni",Jul,22819,https://open.spotify.com/track/5cbyl4wFM4UYnQGoA0dcAk
181,"Tu rêves","Deen Burbigo",22775,https://open.spotify.com/track/7FXXVMGfMLy1IkmgDIZJBp
182,"On parle pas","Djadja & Dinaz",22644,https://open.spotify.com/track/2fbdiLRUflgSDa9qTlnHjR
183,Clandestina,Lartiste,22297,https://open.spotify.com/track/4c3I4JPNYHQvgG55mvVECj
184,Oiseaux,Django,22097,https://open.spotify.com/track/3gd5HHSJiZI6zsC8N716Fp
185,"Work from Home (feat. Ty Dolla $ign)","Fifth Harmony",21990,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
186,"In the Name of Love","Martin Garrix",21980,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
187,"Mon ami","Still Fresh",21705,https://open.spotify.com/track/46P2kfhXGdwp3OJvl3INXu
188,"Lush Life","Zara Larsson",21660,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8
189,"Don't Let Me Down (feat. Daya)","The Chainsmokers",21625,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
